"log2FoldChange","padj","GeneID"
-2.29937140489616,0.00200777886681268,"Abcg1"
8.90077036847922,1.66037523199853e-07,"Ndc80"
7.53747617279914,0.0140809961761377,"Qpct"
-2.88778165908277,1.85928125952623e-07,"Cyp1b1"
1.32204491246593,0.00287921933501832,"Hnrnpll"
-7.09679484574993,0.0001602953403943,"C3"
-1.01281057600517,0.0370771514318872,"Slc39a6"
2.10539340050579,0.0148533115144808,"Adamts10"
-1.09283364669774,0.0185241998538137,"Psmb8"
-4.1831244111215,0.00767618819665172,"C2"
-1.4250964369452,1.06651529616287e-05,"Impact"
-5.04957110169557,0.0307609309773483,"Ttc39c"
2.1698555249893,0.00654340662881664,"Slc4a9"
1.81342078719452,4.36490580662105e-10,"Ppp2r2b"
1.59540916451421,3.13295883575478e-10,"Pmaip1"
3.05731078238631,1.29307718580876e-11,"Snx24"
1.19830325306816,0.00161492685263027,"Ppic"
-10.6369047113117,0.00144083802387285,"Cd74"
-1.58912339628446,5.88945706280734e-24,"Cyb5a"
2.98244676383801,0.0242611502848822,"Asrgl1"
-1.11597344745327,3.47954088164708e-15,"Fth1"
8.33810138922236,0.00114439191803971,"Cdca5"
-1.6006029058929,0.00141143526469669,"Pcgf5"
8.23736510514049,1.06204621386741e-05,"Pip5k1b"
-9.87903770184213,1.5193700425492e-11,"Aldh3b1"
-1.84114873557023,0.0257392839353932,"Pcx"
5.50598596475904,0.000801029863987066,"Tesmin"
8.99463100949201,5.00813729858215e-08,"Cep55"
-1.12032456323553,0.0127171296114168,"Rbp4"
-3.23715426321863,0.000983651994234499,"Sorbs1"
-1.14834116420045,9.28979238365899e-19,"Gsto1"
-1.20941228361143,1.06965786620294e-22,"Cbr2"
-1.74827813335234,2.00070772608015e-08,"Fasn"
6.91407261942492,0.00108256704615634,"Arhgap19"
-1.06490925607127,9.2802262429295e-08,"Got1"
-1.06480530406377,1.79522736055389e-06,"Abhd6"
3.98932288225412,0.000226844896305831,"Ptprj"
-6.55037322595124,0.00913960185297968,"Itgb8"
-3.27490652186698,0.000357033404552921,"Padi4"
8.16735995569753,0.0167669985158472,"Cdh9"
-6.8228387567298,0.00620595842147817,"Pstpip2"
